,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
13962,7967661407.600336,7264660578.745614,8244747485.787645,12738061907.912945,13804975356.287329,14560366093.055405,15138878578.522127,15389251320.382109,14799889455.223753,14359406657.123081,10624851959.527428,8047325821.190778,4399358584.308955,44634664387.92332,44675771225.498276,839674038481.6001,804675609333.3159,420004237345.97626,187414357185.84143,66839051716.54067,0.0
10612,1542206060.1074321,2301818008.396126,7191414101.635529,21130230931.30679,28536179959.95637,34595483987.56014,40242157685.66206,44243646815.98501,46235185221.95021,51147430349.392166,39689595457.04852,25262475257.899906,13892992743.245623,67872858217.8799,65508281650.05718,2022810531871.847,2003352058005.2761,1073608305798.127,488190882306.31586,176720259378.39963,0.0
2463,15532523619.33774,20375005012.293106,70047534859.63902,227004320009.4582,370618147617.1605,497777027594.848,622315573057.5416,740977501312.0024,839368028557.9587,1034627420010.1191,884700044917.1116,778778320255.6985,467904994388.677,4802810965242.679,5416322719037.727,102059591251883.2,116364080136893.27,69417832794776.09,33220978840340.812,12431043373937.34,0.0
6011,7872660701.054625,10213924248.758772,25592493855.85199,70956706171.77953,97894192918.10616,122064360788.44615,147105973446.6875,166762666420.28192,174887497997.5384,200320005008.40875,157690129178.56494,100325298072.57568,56328535187.098335,284854463171.0253,257164679594.03424,7367550157542.093,9996987503787.088,6563401614198.596,3284571317858.8125,1266649098542.2402,0.0
2107,42442254186.923325,49690493167.02412,248504044317.46936,1009353310176.9685,1806638187658.658,2468417807693.5566,3128790149620.787,3734315306391.4907,4046620444240.9907,4836351874818.025,3818025112212.259,2091774550611.3484,1195457923771.2083,1979712096037.9736,1946492832106.754,27728257202972.746,37042762088716.336,25208991618235.406,12936099956435.152,5083337132460.67,0.0
9607,2289732850.7306767,2297320390.6213846,2945594801.025136,5777456771.1611,6396199568.279744,6971420248.683084,7384750069.856424,7642360887.806921,7566011528.358591,7612526774.596199,5571196808.716541,3142969210.1791143,1652520905.6896567,5389625707.853252,4710074387.902147,110537205152.06868,170490563049.5088,119388159195.01308,61317215008.629524,24033937804.790726,0.0
12855,252237809.38267213,451328225.5216556,1374125559.1668782,3995500346.7086735,5277517593.2480135,6123475302.811464,6675784711.924783,7112034756.343175,7262475049.633518,7532105213.209666,5563232939.929754,2942311783.5611615,1541014127.9840772,1531964645.3335538,1149907027.1165507,34253495082.78903,64155514463.52877,49309998186.49728,26422430248.309135,10642319125.66175,0.0
4609,13252116627.559065,14519778107.449562,25523156921.894623,57514539497.95931,72217892838.94432,84990605712.76259,97453518108.05035,106879484288.04202,111355605116.11334,122803408938.99513,96418726116.43245,63842670088.21054,35270251184.65159,208946444633.63376,195843718827.43967,4872496023768.588,6791437232140.104,4504726608870.827,2258148579231.591,870820256319.9161,0.0
4649,7955445955.47442,9210091307.52356,18916752750.445156,50469349938.74573,69641869631.32549,84495417688.34636,97819526861.72737,109751326944.69545,120451740163.41985,135937558041.79277,107341389556.86377,99688427644.61774,56723741447.98078,735009799544.3956,830962733650.111,9933779919183.72,8358299936079.478,4334706344309.2744,1976112188432.0837,720611264150.6821,0.0
9393,773948727.3982953,999219821.4496299,2063157176.6641295,5265750582.150011,6588670241.131088,7508207896.845705,8152492975.923562,8656098201.365984,8790672934.015001,9183285117.533173,6848640394.50732,3969485148.16052,2087582391.3251877,7287862262.648585,6274732586.181552,170659061801.0934,258895156957.7029,178839500026.90186,91263682856.66563,35608573978.157524,0.0
