,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
2287,7657979088.715642,9526972917.427197,20811002016.710476,57483754520.37902,78112980288.37898,95303462546.91977,111530542101.30502,126143168547.9682,132691773104.2868,149095319265.27353,116437172220.44655,63897953718.72824,35445654911.00215,42751423963.724556,33444780936.968975,939160872872.8054,1719667482605.1025,1311104262787.4119,700077320203.3413,281389212038.75415,0.0
1009,16161897571.373955,16143502373.622429,19014619786.144028,32930665670.550793,37132196192.654625,43334867366.54418,49453960587.40956,55121100801.19285,57030920603.97773,63438298880.117294,50506054013.23782,44752404514.14685,25855228354.97167,323774699965.54785,369248152338.28064,3805120818784.547,3076711915379.743,1555040665626.9653,698158324884.708,251686034308.6683,0.0
547,1715463565.1013129,2571218808.82174,11649766129.044838,44135453110.632126,76296576011.85953,103264106762.02692,130194915189.8937,155811207600.0849,173213827536.81836,209274957039.67627,171196524351.00238,100527054450.84949,60148083371.851036,103072244494.38625,97639768551.86328,6060345905529.199,7021517107514.185,4034735836592.038,1875751044683.923,685574794715.2335,0.0
423,1323233993.5698657,2120333219.3325274,11388870800.48034,42987316530.452644,74428671838.37048,100807138692.81706,126778931359.91866,151049442879.53983,166691558111.56116,198130051531.9686,158560769538.47992,86781000889.6026,50156035027.27226,45757174136.76016,35399585042.73654,1534919660775.5315,2539310950707.885,1808570594231.1511,934261101447.7054,367095907661.64276,0.0
498,12452322289.69574,15487785898.14829,36463500616.462036,90589119486.2399,136820990168.98552,175926862069.42697,215561306632.54977,254638690590.8073,281058410698.9547,335692897011.8686,280258466696.9267,259767265623.94064,158752931212.8155,2221403886035.836,2880185056377.7065,22079576023168.82,16102021423469.977,7899305624576.263,3536664602064.1753,1276100840070.8997,0.0
851,21845902.608307462,398886234.76979786,6289499380.2351885,27376712942.541782,49914307054.19472,67774180502.04513,84813712586.168,100698465690.92438,109703490810.34076,129539594286.68172,101834572375.62042,53069483102.448875,30318245409.98424,5530836886.271875,1889486559.6101062,382748612.2583691,563920797.6867837,419993448.0175863,224914016.89427835,91268242.53410228,0.0
1751,260689087.38479835,1213851632.458745,13398952898.599833,55806885105.85016,97511705877.76833,130700899394.07674,163516391028.8075,192573611899.69104,211918637833.82516,250105065215.5715,199231601736.45325,109189311148.6014,62661637737.59742,67110297838.43704,55220017835.922585,2749011875539.0806,3972800658318.385,2638010930304.479,1320407321661.1685,508147616161.2985,0.0
1772,1389758224.9701104,2437662865.1110635,9106684561.48757,28768219386.231773,41848548387.80406,51901733078.6172,61329127215.95069,69969718293.75482,75098648887.78336,84833234214.8845,66914078788.293816,37843309249.146996,21125946222.45366,33364510803.51499,26673140583.19689,967660251032.6322,1715543781904.4143,1271457560962.2676,668761528782.3594,265907866791.32495,0.0
212,223072375.64861318,1934824601.9982529,28069136663.855667,127548856806.1907,235901051381.76678,324821374179.5311,413694176987.11127,501398920225.2186,560013151646.998,676084181678.3693,543451876180.7114,296435124948.28796,173047960750.58936,115816752040.20325,86353284853.74315,7694185492664.3,12323331382128.193,8430586723747.75,4249004072845.3047,1638571021849.078,0.0
1482,5737345125.339018,6617413383.464059,12356802506.411596,32841105005.821438,48319056603.27799,62170666226.19047,76722898690.115,89969509597.90536,97530614989.12802,114246729280.38576,91500023013.08772,52575659930.91841,30041531991.170452,63947010428.77711,53196509438.9836,1812006258582.635,2785192362044.2275,1909664279316.7446,968630698256.9045,376078892688.1067,0.0
2180,1062448.2815287157,21796308.6318167,301496719.0343651,1234393900.9152815,2161921490.780806,2869805498.892322,3518711103.583442,4099128099.7060018,4436683232.668495,5153606205.252875,4017138334.3588834,2097780860.7010312,1182049850.3820639,215792461.56194094,74115100.00048923,55752170.42638044,99687993.44945718,76570542.5922511,41153374.29389372,16636919.595990242,0.0
